time strain
0.033135011 -8.321723199999998e-22
0.033179909 -8.3150866e-22
0.033224806999999995 -8.308411299999999e-22
0.033269706 -8.301707999999999e-22
0.033314604000000005 -8.294981599999999e-22
0.033359503 -8.288241799999999e-22
0.033404401 -8.281485799999998e-22
0.033449299 -8.274708599999999e-22
0.033494197999999996 -8.267917799999999e-22
0.033539096 -8.2611080999999995e-22
0.033583995 -8.254289499999998e-22
0.033628893 -8.2474843999999995e-22
0.033673791 -8.240713e-22
0.03371869 -8.233968899999998e-22
0.033763588 -8.227234299999998e-22
0.033808487 -8.2205165e-22
0.033853385 -8.213806599999998e-22
0.033898283 -8.207111700000001e-22
0.033943182 -8.2004241e-22
0.03398808 -8.193739199999999e-22
0.034032978 -8.187050499999999e-22
0.034077877 -8.180366699999998e-22
0.034122774999999994 -8.173695199999999e-22
0.034167673999999995 -8.167033e-22
0.034212572000000004 -8.160366899999999e-22
0.03425747 -8.153693499999998e-22
0.034302369 -8.1469919e-22
0.034347267 -8.1402754e-22
0.034392166 -8.1335463e-22
0.034437064 -8.1267997e-22
0.034481962000000005 -8.155242e-22
0.034526861 -8.078801700000001e-22
0.034571759 -7.9429781e-22
0.034616658 -8.1428217e-22
0.034661556 -8.224940599999998e-22
0.034706454 -8.176528799999999e-22
0.034751353 -7.972549e-22
0.034796251 -7.986292999999998e-22
0.034841149 -8.112051699999999e-22
0.034886048 -8.0584854999999995e-22
0.034930946 -8.0515534e-22
0.034975845 -8.044595799999998e-22
0.035020743 -8.037640999999999e-22
0.035065641 -8.0306576e-22
0.03511054 -8.023605699999998e-22
0.035155438 -8.01641e-22
0.035200337 -8.0090044e-22
0.035245235 -8.0017806e-22
0.035290132999999994 -7.994604799999999e-22
0.035335031999999995 -7.9873465e-22
0.035379930000000004 -7.979908799999998e-22
0.035424829000000005 -7.9724841e-22
0.035469727 -7.965209799999998e-22
0.035514625 -7.957895199999998e-22
0.035559524 -7.9506073e-22
0.035604422 -7.943362999999998e-22
0.035649320000000005 -7.936169699999998e-22
0.035694219 -7.9289995e-22
0.035739117 -7.921821199999999e-22
0.035784016 -7.914629599999998e-22
0.035828914 -7.9074442e-22
0.035873812 -7.9002578e-22
0.035918711 -7.8931102e-22
0.035963609 -7.885862099999998e-22
0.036008508 -7.878753099999998e-22
0.036053406 -7.871627399999998e-22
0.036098304 -7.8644053e-22
0.036143203 -7.857139599999998e-22
0.036188101 -7.849931199999999e-22
0.036232999 -7.842882e-22
0.036277898 -7.835691099999998e-22
0.036322796 -7.8285423e-22
0.036367695 -7.821387099999998e-22
0.036412593 -7.814217199999999e-22
0.036457491 -7.807035199999999e-22
0.03650239 -7.799833699999999e-22
0.036547288 -7.792610999999998e-22
0.036592187000000005 -7.785373699999999e-22
0.036637085 -7.778121199999998e-22
0.036681983 -7.7708611e-22
0.036726882 -7.763592099999999e-22
0.03677178 -7.756320499999998e-22
0.036816679 -7.749044999999999e-22
0.036861577 -7.741770799999999e-22
0.036906475 -7.734499599999998e-22
0.036951374 -7.7272357e-22
0.036996272 -7.719974799999998e-22
0.03704117 -7.712727799999998e-22
0.037086069 -7.705499899999999e-22
0.037130967 -7.6982888e-22
0.037175866 -7.691086299999998e-22
0.037220764 -7.6838754e-22
0.037265662 -7.676654e-22
0.037310561 -7.669417999999998e-22
0.037355459 -7.6621757999999995e-22
0.037400358 -7.6549196999999985e-22
0.037445256 -7.647668699999998e-22
0.037490154 -7.6404304e-22
0.037535053 -7.6331994999999995e-22
0.037579951 -7.6259789999999985e-22
0.03762485 -7.6187572e-22
0.037669748 -7.6115358e-22
0.037714646 -7.6043088e-22
0.037759545000000005 -7.597070999999998e-22
0.037804443 -7.589821899999999e-22
0.037849341 -7.5825553e-22
0.03789424 -7.5752864e-22
0.037939138 -7.5680153e-22
0.037984037 -7.560735999999998e-22
0.038028935 -7.553441699999998e-22
0.038073833 -7.546124799999998e-22
0.038118732 -7.5387913e-22
0.03816363 -7.531436499999998e-22
0.038208529 -7.524051399999998e-22
0.038253427 -7.516642899999998e-22
0.038298325 -7.5092069e-22
0.038343224 -7.5017462999999985e-22
0.038388122 -7.494262699999998e-22
